DISTRICT,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Lyttleton,4,29,161075.02000000002,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Linwood,4,55,898632.76,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Woolston,3,54,1110997.29,2012-09-01,7
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,Papanui,3,36,679530.17,2012-09-01,7
CLUTHA DISTRICT,Kaitangata/ Milton/ Owaka,4,28,149498.59,2012-09-01,7
CLUTHA DISTRICT,Clinton/ Heriot/ Lawrence/ Tapanui,4,13,55136.42,2012-09-01,7
CLUTHA DISTRICT,Balclutha,4,38,339314.39,2012-09-01,7
DUNEDIN CITY,Green Island,3,35,283349.25,2012-09-01,7
DUNEDIN CITY,Dunedin Central,11,158,1397544.1,2012-09-01,7
DUNEDIN CITY,Kaikorai/ North East Valley/ Normanby,5,52,467206.17999999993,2012-09-01,7
DUNEDIN CITY,Caversham/ Kensington,3,39,323930.08999999997,2012-09-01,7
DUNEDIN CITY,Concord/ Kew/ Mornington,3,45,448430.69999999995,2012-09-01,7
DUNEDIN CITY,Mosgiel,5,63,605922.78,2012-09-01,7
DUNEDIN CITY,St Kilda,4,51,456095.1,2012-09-01,7
FAR NORTH DISTRICT,Awanui/ Herekino/ Rawene/ Opononi/ Waipapakauri,5,43,257754.65000000002,2012-09-01,7
FAR NORTH DISTRICT,Kaitaia,4,63,887856.8400000001,2012-09-01,7
FAR NORTH DISTRICT,Cooper’s Beach/ Maungonui/ Taipa Bay,3,37,213239.13,2012-09-01,7
FAR NORTH DISTRICT,Paihia,5,69,680728.8200000001,2012-09-01,7
FAR NORTH DISTRICT,Kaikohe,4,56,661481.4,2012-09-01,7
FRANKLIN DISTRICT,Kaiaua/ Mercer,3,30,252613.24000000002,2012-09-01,7
FRANKLIN DISTRICT,Pukekohe,12,169,2105631.84,2012-09-01,7
FRANKLIN DISTRICT,Clarks Beach/ Patumahoe,3,44,328337.75,2012-09-01,7
GISBORNE DISTRICT,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,14,210,2445407.3,2012-09-01,7
GORE DISTRICT,Gore/ Mataura,7,85,748421.19,2012-09-01,7
GREY DISTRICT,Ahaura/ Dobson/ Paroa/ Taylorville,4,12,51615.03999999999,2012-09-01,7
GREY DISTRICT,Greymouth,7,90,875000.8700000001,2012-09-01,7
GREY DISTRICT,Cobden/ Rapahoe/ Runanga,4,16,87249.3,2012-09-01,7
HAMILTON CITY,Claudelands,3,45,540514.02,2012-09-01,7
HAMILTON CITY,Frankton,4,57,675854.35,2012-09-01,7
HAMILTON CITY,Hamilton Central,15,220,2713271.52,2012-09-01,7
HAMILTON CITY,Dinsdale/ Hillcrest/ Pukete,3,45,585387.0700000001,2012-09-01,7
HAMILTON CITY,Glenview/ hamilton East,3,41,442936.21,2012-09-01,7
HAMILTON CITY,Nawton/ Te Rapa,3,54,870444.8299999998,2012-09-01,7
HASTINGS DISTRICT,Hastings Central,17,247,3015818.7800000003,2012-09-01,7
HASTINGS DISTRICT,Clive/ Flaxmere East/ Havelock North,5,82,785734.3600000001,2012-09-01,7
HAURAKI DISTRICT,Waihi,4,57,453709.44000000006,2012-09-01,7
HAURAKI DISTRICT,Ngatea/ Paeroa,4,57,570952.9299999999,2012-09-01,7
HOROWHENUA DISTRICT,Levin,7,120,1613216.5,2012-09-01,7
HURUNUI DISTRICT,Hamner Springs,3,25,175669.16,2012-09-01,7
INVERCARGILL CITY,Invercargill Central,10,124,1121549.6900000002,2012-09-01,7
INVERCARGILL CITY,Appleby/ Glengarry/ Strathern,4,72,950230.5,2012-09-01,7
INVERCARGILL CITY,Hawthorndale/ Makarewa/ Waikiwi,3,44,838680.2100000001,2012-09-01,7
KAIKOURA DISTRICT,Kaikoura Township,4,48,229040.90000000002,2012-09-01,7
KAIPARA DISTRICT,Dargaville,4,37,328950.55000000005,2012-09-01,7
KAIPARA DISTRICT,Kaiwaka/ Mangawhai,3,25,212116.21000000002,2012-09-01,7
