TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
southland district,Nightcaps/ Otautau,3,15,89494.31,2012-09-01,7
southland district,Te Anau,3,31,198449.77000000002,2012-09-01,7
stratford district,Stratford,5,49,409167.17,2012-09-01,7
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,152450.24,2012-09-01,7
tararua district,Pahiatua,4,33,205091.64,2012-09-01,7
tararua district,Dannevirke,4,69,503397.09,2012-09-01,7
tasman district,Brightwater/ Mapua/ Tapawera/ Wakefield,4,22,117346.61,2012-09-01,7
tasman district,Richmond,5,86,1000359.0700000001,2012-09-01,7
tasman district,Collingwood/ Riwaka/ Takaka,3,27,172006.93,2012-09-01,7
tasman district,Motueka,4,54,524769.14,2012-09-01,7
taupo district,Taupo,12,152,1728126.44,2012-09-01,7
taupo district,Mangakino/ Turangi,4,56,348556.02999999997,2012-09-01,7
tauranga city,Tauranga Central,24,353,4381989.9,2012-09-01,7
tauranga city,Mt Maunganui,11,140,1871269.22,2012-09-01,7
tauranga city,Greerton/ Papamoa,5,66,988234.65,2012-09-01,7
thames-coromandel district,Coromandel,4,34,200720.73,2012-09-01,7
thames-coromandel district,Whitianga,5,67,456443.86,2012-09-01,7
thames-coromandel district,Thames,7,82,881917.7600000001,2012-09-01,7
thames-coromandel district,Whangamata,4,66,472452.45000000007,2012-09-01,7
thames-coromandel district,Pauanui Beach/ Tairua,4,27,100821.3,2012-09-01,7
timaru district,Timaru Gardens,5,72,1019539.3700000001,2012-09-01,7
timaru district,Timaru,10,113,1085800.75,2012-09-01,7
timaru district,Geraldine,4,32,241581.08000000002,2012-09-01,7
timaru district,Temuka,4,44,423877.41,2012-09-01,7
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,9,139,2310382.21,2012-09-01,7
waikato district,Ngaruwahia,4,50,404782.18,2012-09-01,7
waikato district,Huntly,4,59,596988.68,2012-09-01,7
waikato district,Raglan/ Taupiri/ Whatawhata,4,50,313105.89,2012-09-01,7
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,30,228181.8,2012-09-01,7
waimakariri district,Kaiapoi,4,54,825408.71,2012-09-01,7
waimakariri district,Oxford/ Woodend,3,39,288637.33999999997,2012-09-01,7
waimakariri district,Rangiora,6,72,873584.22,2012-09-01,7
waimate district,Waimate,5,34,240505.53,2012-09-01,7
waipa district,Kihikihi/ Pirongia/ Te Awamutu,9,123,1160155.17,2012-09-01,7
waipa district,Cambridge,6,77,848520.06,2012-09-01,7
wairoa district,Mahia Beach/ Wairoa,4,58,612687.97,2012-09-01,7
waitakere city,New Lynn,7,81,1190073.0400000003,2012-09-01,7
waitakere city,Henderson,10,162,3516883.3000000003,2012-09-01,7
waitakere city,Glen Eden,5,56,1025691.9799999999,2012-09-01,7
waitakere city,Kelston/ Titirangi,3,46,922909.85,2012-09-01,7
waitakere city,Te Atatu,3,35,514412.26,2012-09-01,7
waitaki district,Oamaru,6,83,762547.19,2012-09-01,7
waitaki district,Kurow/ Omarama/ Otematata,5,26,110147.07,2012-09-01,7
waitomo district,Awakino/ Piopio/ Te Kuiti,7,83,588400.25,2012-09-01,7
whanganui district,Castlecliff/ Gonville/ Wanganui,19,262,2551536.7699999996,2012-09-01,7
wellington city,Lambton/ Seatoun/ Thorndon,3,25,334574.94999999995,2012-09-01,7
wellington city,Kilbirnie,4,57,940341.23,2012-09-01,7
wellington city,Wellington Central,18,296,4145902.66,2012-09-01,7
wellington city,Newtown,3,54,772344.27,2012-09-01,7
wellington city,Brooklyn/ Karori,3,53,535351.53,2012-09-01,7
wellington city,Strathmore/ Te Aro,3,45,612603.7799999999,2012-09-01,7
wellington city,Island Bay,3,25,265920.39,2012-09-01,7
wellington city,Crofton Downs/ Hataitai/ Miramar/ Newlands,4,61,844378.17,2012-09-01,7
western bay of plenty district,Katikati,4,52,332901.83,2012-09-01,7
western bay of plenty district,Te Puke,6,78,761152.4000000001,2012-09-01,7
western bay of plenty district,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,5,61,381716.91,2012-09-01,7
westland district,Fox Glacier/ Franz Josef/ Hokitika,7,65,484349.49,2012-09-01,7
whakatane district,Whakatane Central,8,120,1631151.6,2012-09-01,7
whakatane district,Edgecumbe/ Matata/ Te Teko,3,40,318833.76999999996,2012-09-01,7
whakatane district,Murupara/ Ohope/ Poroporo,4,47,257154.03,2012-09-01,7
whangarei district,Marsden Point/ Ruakaka/ Waipu,3,43,325758.86,2012-09-01,7
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga,5,58,698523.04,2012-09-01,7
whangarei district,Whangarei Central,15,212,2726254.64,2012-09-01,7
auckland,Epsom/ Mt Eden/ Parnell,4,43,1116997.77,2013-09-01,7
auckland,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,5,46,937674.8300000001,2013-09-01,7
auckland,Glendowie/ Orakei,3,22,150773.09,2013-09-01,7
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1120025.12,2013-09-01,7
auckland,Mt Roskill/ Sandringham/ Three Kings,3,28,591145.83,2013-09-01,7
auckland,Point Chevalier,5,76,828260.25,2013-09-01,7
auckland,Balmoral/ Glen Innes/ Kingsland,5,79,1684400.8900000001,2013-09-01,7
auckland,Panmure,5,76,1156580.25,2013-09-01,7
auckland,Avondale/ Grey Lynn/ Herne Bay,7,82,838821.74,2013-09-01,7
central hawke's bay district,Ongaonga/ Otane/ Waipawa/Waipukurau,5,49,439478.22000000003,2013-09-01,7
napier city,Napier City/Marewa,9,135,1650890.48,2013-09-01,7
waitakere city,Hobsonville/Massey/ Swanson/ Waitakere/West Harbour,8,98,1534565.0299999998,2013-09-01,7
wellington city,Johnsonville/Tawa South,7,100,1411895.0500000003,2013-09-01,7
ashburton district,Ashburton,8,120,1071848.32,2010-09-01,6
ashburton district,Hinds/ Methven/ Rakaia,5,34,214832.65,2010-09-01,6
auckland,Newton,9,125,1085844.33,2010-09-01,6
auckland,Auckland City,15,210,3392789.22,2010-09-01,6
auckland,Otahuhu,11,172,2692914.17,2010-09-01,6
auckland,Onehunga,8,106,1720290.7,2010-09-01,6
auckland,Royal Oak,4,72,869028.97,2010-09-01,6
buller district,Westport,6,60,496992.96,2010-09-01,6
buller district,Cape Foulwind/ Karamea/ Reefton,4,22,125059.99,2010-09-01,6
carterton district,Carterton,4,50,347215.33,2010-09-01,6
central otago district,Alexandra,4,59,407022.78,2010-09-01,6
central otago district,Clyde/ Millers Flat/ Omakau/ Ophir/ Ranfurly,5,18,88915.8,2010-09-01,6
central otago district,Cromwell,4,52,311584.43,2010-09-01,6
central otago district,Roxburgh,3,10,46904.23,2010-09-01,6
chatham islands district,Chatham Islands,1,2,26833.3,2010-09-01,6
christchurch city,Avonhead/ Sockburn/ Upper Riccarton,4,72,1123532.82,2010-09-01,6
christchurch city,Christchurch Central,14,212,1750920.12,2010-09-01,6
christchurch city,New Brighton,7,101,993212.62,2010-09-01,6
christchurch city,Barrington/ Hillmorton/ Hoon Hay/ Spreydon,5,48,577611.17,2010-09-01,6
christchurch city,Addington/ Middleton/ Waltham,4,64,875445.03,2010-09-01,6
christchurch city,Belfast/ Kainga,3,42,531037.7,2010-09-01,6
christchurch city,Aranui/ Bromley/ Richmond/ Wainoni,5,90,1148919.63,2010-09-01,6
christchurch city,Halswell,3,45,692435.34,2010-09-01,6
christchurch city,Riccarton,6,107,1054843.14,2010-09-01,6
christchurch city,Harewood/ Merivale/ Redwood,6,84,933382.55,2010-09-01,6
christchurch city,North New Brighton/ Parklands/ Waimari Beach,4,63,729226.76,2010-09-01,6
christchurch city,Sydenham,5,75,658848.77,2010-09-01,6
christchurch city,St Albans,3,54,541576.16,2010-09-01,6
christchurch city,Hornby,4,72,933476.14,2010-09-01,6
christchurch city,Bishopdale,3,54,1128035.4,2010-09-01,6
christchurch city,Philipstown,3,51,513252.47,2010-09-01,6
christchurch city,Islington/ Templeton/ West Melton/ Yaldhurst,5,78,799998.21,2010-09-01,6
christchurch city,Shirley,5,76,779339.05,2010-09-01,6
christchurch city,Lyttleton,3,29,142423.9,2010-09-01,6
christchurch city,Linwood,4,72,856646.02,2010-09-01,6
christchurch city,Woolston,3,54,758962.09,2010-09-01,6
christchurch city,Papanui,4,54,680464.92,2010-09-01,6
clutha district,Kaitangata/ Milton/ Owaka,4,28,167289.76,2010-09-01,6
clutha district,Clinton/ Heriot/ Lawrence/ Tapanui,4,13,75180.7,2010-09-01,6
clutha district,Balclutha,3,34,255112.97,2010-09-01,6
dunedin city,Green Island,3,35,314802.65,2010-09-01,6
dunedin city,Dunedin Central,10,132,1230943.58,2010-09-01,6
dunedin city,Kaikorai/ North East Valley/ Normanby,5,52,439046.55,2010-09-01,6
dunedin city,Caversham/ Kensington,3,45,385316.24,2010-09-01,6
dunedin city,Concord/ Kew/ Mornington,3,45,477297.77,2010-09-01,6
dunedin city,Mosgiel,5,63,600984.75,2010-09-01,6
dunedin city,St Kilda,4,45,447118.85,2010-09-01,6
far north district,Awanui/ Herekino/ Rawene/ Opononi/ Waipapakauri,5,45,288502.04,2010-09-01,6
far north district,Kaitaia,4,63,853404.94,2010-09-01,6
far north district,Cooper’s Beach/ Maungonui/ Taipa Bay,3,37,188405.71,2010-09-01,6
far north district,Paihia,3,30,274299.47,2010-09-01,6
far north district,Kaikohe,4,56,740621.3,2010-09-01,6
franklin district,Kaiaua/ Mercer,3,32,258565.47,2010-09-01,6
franklin district,Pukekohe,8,96,1338698.16,2010-09-01,6
franklin district,Clarks Beach/ Patumahoe,3,44,256243.4,2010-09-01,6
gisborne district,Gisborne Central/ Kaiti/ Ruatoria/ Tokomaru Bay,14,210,2373807.04,2010-09-01,6
gore district,Gore/ Mataura,7,85,818831.2,2010-09-01,6
grey district,Ahaura/ Dobson/ Paroa/ Taylorville,4,12,68347.49,2010-09-01,6
grey district,Greymouth,7,90,877685.12,2010-09-01,6
grey district,Cobden/ Rapahoe/ Runanga,3,14,80893.6,2010-09-01,6
hamilton city,Claudelands,3,45,605790.23,2010-09-01,6
hamilton city,Frankton,4,57,630536.91,2010-09-01,6
hamilton city,Hamilton Central,15,236,2312184.98,2010-09-01,6
hamilton city,Dinsdale/ Hillcrest/ Pukete,3,45,686239.67,2010-09-01,6
hamilton city,Glenview/ hamilton East,3,41,447205.69,2010-09-01,6
hamilton city,Nawton/ Te Rapa,3,54,1018373.27,2010-09-01,6
hastings district,Hastings Central,18,260,3223373.14,2010-09-01,6
hastings district,Clive/ Flaxmere East/ Havelock North,5,82,779496.05,2010-09-01,6
hauraki district,Waihi,4,57,382360.17,2010-09-01,6
hauraki district,Ngatea/ Paeroa,4,54,569581.68,2010-09-01,6
horowhenua district,Levin,8,138,1678712.99,2010-09-01,6
hurunui district,Hamner Springs,3,25,162355.34,2010-09-01,6
invercargill city,Invercargill Central,11,145,1335316.33,2010-09-01,6
invercargill city,Appleby/ Glengarry/ Strathern,4,72,1029594.21,2010-09-01,6
invercargill city,Hawthorndale/ Makarewa/ Waikiwi,3,44,805537.34,2010-09-01,6
kaikoura district,Kaikoura Township,4,52,228328.97,2010-09-01,6
kaipara district,Dargaville,4,37,381610.33,2010-09-01,6
kaipara district,Kaiwaka/ Mangawhai,3,23,152521.36,2010-09-01,6
kaipara district,Maungaturoto/ Paparoa/Ruawai,3,9,67831.18,2010-09-01,6
kapiti coast district,Paraparaumu,6,95,1140185.66,2010-09-01,6
kapiti coast district,Otaki,5,72,533680.47,2010-09-01,6
kapiti coast district,Paekakariki/ Raumati/ Waikanae,4,57,628392.98,2010-09-01,6
kawerau district,Kawerau,4,54,566772.78,2010-09-01,6
lower hutt city,Lower Hutt Central,9,142,2284521.53,2010-09-01,6
lower hutt city,Petone,7,126,1800332.55,2010-09-01,6
lower hutt city,Eastbourne/ Holborn/ Stokes Valley/ Woburn,5,58,640186.76,2010-09-01,6
lower hutt city,Moera/ Taita,3,44,499246.55,2010-09-01,6
lower hutt city,Hutt Central,4,40,326241.26,2010-09-01,6
lower hutt city,Wainuiomata,5,69,754797.83,2010-09-01,6
lower hutt city,Naenae,5,57,776458.01,2010-09-01,6
mackenzie district,Fairlie/ Lake Tekapo/ Twizel,5,41,156264.35,2010-09-01,6
manawatu district,Bunnythorpe/ Longburn/ Rongotea,4,28,101957.61,2010-09-01,6
manawatu district,Fielding,6,90,802102.96,2010-09-01,6
manukau city,Howick,9,144,2633202.79,2010-09-01,6
manukau city,Highland Park/ Beachlands-Maretai/ Whitford,4,48,426175.46,2010-09-01,6
manukau city,Papatoetoe,7,84,1549457.12,2010-09-01,6
manukau city,Manurewa,11,160,3691985.83,2010-09-01,6
manukau city,Mangere Bridge,3,39,1108825.68,2010-09-01,6
manukau city,Manukau City,14,198,3888293.16,2010-09-01,6
manukau city,Clendon/ Mangere East/ Wiri,3,41,947484.92,2010-09-01,6
manukau city,Otara,5,81,1318905.44,2010-09-01,6
manukau city,Mangere,4,63,1139847.52,2010-09-01,6
manukau city,Pakuranga,4,62,903958.08,2010-09-01,6
manukau city,East Tamaki/ Flat Bush,3,36,810859.58,2010-09-01,6
marlborough district,Blenheim,10,163,1861394.34,2010-09-01,6
marlborough district,Picton,5,51,329227.9,2010-09-01,6
marlborough district,Havelock/ Renwick/ Seddon/ Spring Creek,5,46,259885.47,2010-09-01,6
masterton district,Masterton,8,116,1029305.71,2010-09-01,6
matamata-piako district,Matamata,4,62,625937.27,2010-09-01,6
matamata-piako district,Morrinsville,4,51,415116.09,2010-09-01,6
matamata-piako district,Tahuna/ Te Aroha/ Waihou-Walton,6,57,351116.8,2010-09-01,6
napier city,Bay View/ Bluff Hill/ Greenmeadows/ Meeanee,4,56,351661.92,2010-09-01,6
napier city,Maraenui/ Onekawa/ Westshore,3,45,610005.7,2010-09-01,6
napier city,Taradale,4,68,958011,2010-09-01,6
nelson city,Nelson Central,12,181,1849165.41,2010-09-01,6
nelson city,Port Nelson/ Stoke/ Tahunanui/ The Wood,5,60,654925.32,2010-09-01,6
new plymouth district,New Plymouth Central,18,249,2765803.91,2010-09-01,6
new plymouth district,Waitara,4,49,402272.46,2010-09-01,6
new plymouth district,Inglewood/ Oakura/ Okato,4,34,232453.22,2010-09-01,6
new plymouth district,Bell Block/ Fitzroy/ Urenui,4,50,597967.72,2010-09-01,6
north shore city,Albany,7,99,1393631.37,2010-09-01,6
north shore city,Browns Bay,6,88,716980.7,2010-09-01,6
north shore city,Greenhithe/ Northcote,3,45,381455.64,2010-09-01,6
north shore city,Belmont/ Devonport/ Milford,4,70,646563.84,2010-09-01,6
north shore city,Takapuna Central,7,111,1412530.41,2010-09-01,6
north shore city,Birkenhead,5,49,471766.86,2010-09-01,6
opotiki district,Opotiki/ Te Kaha,5,65,667499.93,2010-09-01,6
otorohanga district,Kawhia/ Otorohanga,4,50,323309.09,2010-09-01,6
palmerston north city,Ashhurst/ Palmerston North Central,30,436,4633150.98,2010-09-01,6
papakura district,Drury/ Papakura/ Takanini,12,194,3228475.26,2010-09-01,6
porirua city,Porirua/ Judgeford,8,115,1781757.44,2010-09-01,6
porirua city,Plimmerton/ Mana-Camborne/ Whitby,3,29,366188.46,2010-09-01,6
porirua city,Cannon’s Creek/ Titihi Bay/  Waitangirua,4,36,559603.56,2010-09-01,6
queenstown-lakes district,Wanaka,3,31,257995.12,2010-09-01,6
rangitikei district,Bulls,3,33,262276.79,2010-09-01,6
rangitikei district,Marton,3,36,380833.76,2010-09-01,6
rodney district,Orewa,5,71,885462.03,2010-09-01,6
rodney district,Huapai/ Kumeu/ Riverhead,3,42,336715.13,2010-09-01,6
rodney district,Snell’s Beach/ Wellsford,3,33,287957.82,2010-09-01,6
rodney district,Helensville/ Kaukapakapa/ Parakai,4,39,262646.5,2010-09-01,6
rodney district,Warkworth,3,44,429860.02,2010-09-01,6
rodney district,Gulf Harbour/ Red Beach/ Silverdale/ Stanmore Bay/ Whangaparoa,7,99,1038475.51,2010-09-01,6
rotorua district,Rotorua Central,19,296,4506037.18,2010-09-01,6
rotorua district,Fenton Park/ Mangakakahi/ Pukehangi,3,48,523630.36,2010-09-01,6
rotorua district,Ngongotaha/ Selwyn Heights,4,37,354446.07,2010-09-01,6
rotorua district,Hillcrest/ Reporoa/ Tihiotonga,3,35,375171.61,2010-09-01,6
ruapehu district,Taumarunui Central,4,54,415999.21,2010-09-01,6
ruapehu district,Ohakune/ Raetihi/ Waioru,3,42,276802.89,2010-09-01,6
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,4,23,117044.06,2010-09-01,6
south waikato district,Tokoroa,8,133,1511326.54,2010-09-01,6
south waikato district,Putaruru/ Tirau,5,56,393139.76,2010-09-01,6
south wairarapa district,Featherston/ Martinborough,4,46,216545.2,2010-09-01,6
south wairarapa district,Greytown,3,31,189162.15,2010-09-01,6
southland district,Riverton,4,26,130067.94,2010-09-01,6
southland district,Winton,3,28,215677.16,2010-09-01,6
southland district,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,5,17,92188.28,2010-09-01,6
southland district,Lumsden/ Manapouri/ Riversdale/ Tutapere,5,21,97690.22,2010-09-01,6
southland district,Nightcaps/ Otautau,3,15,87091.71,2010-09-01,6
southland district,Te Anau,3,31,220436.81,2010-09-01,6
stratford district,Stratford,5,49,446341.85,2010-09-01,6
tararua district,Ekatahuna/ Ormandville/ Pongaroa/ Woodville,5,32,166120.92,2010-09-01,6
tararua district,Pahiatua,4,33,174180.13,2010-09-01,6
tararua district,Dannevirke,4,69,551318.94,2010-09-01,6
tasman district,Brightwater/ Mapua/ Tapawera/ Wakefield,4,24,130170.74,2010-09-01,6
tasman district,Richmond,5,81,817198.55,2010-09-01,6
tasman district,Collingwood/ Riwaka/ Takaka,4,31,159766.55,2010-09-01,6
tasman district,Motueka,4,54,539082.21,2010-09-01,6
taupo district,Taupo,12,150,1761837.57,2010-09-01,6
taupo district,Mangakino/ Turangi,4,56,409797.94,2010-09-01,6
tauranga city,Tauranga Central,25,357,4542863.24,2010-09-01,6
tauranga city,Mt Maunganui,12,149,1800531.09,2010-09-01,6
tauranga city,Greerton/ Papamoa,5,66,1060709.89,2010-09-01,6
thames-coromandel district,Coromandel,4,34,251473.96,2010-09-01,6
thames-coromandel district,Whitianga,5,67,468508.31,2010-09-01,6
thames-coromandel district,Thames,9,110,918347.42,2010-09-01,6
thames-coromandel district,Whangamata,4,66,457024.73,2010-09-01,6
thames-coromandel district,Pauanui Beach/ Tairua,4,29,155304.42,2010-09-01,6
timaru district,Timaru Gardens,5,72,922326.49,2010-09-01,6
timaru district,Timaru,9,106,978333.58,2010-09-01,6
timaru district,Geraldine,4,32,221866.19,2010-09-01,6
timaru district,Temuka,6,53,310091.66,2010-09-01,6
upper hutt city,Heretaunga-Silverstream/ Trentham/ Upper Hutt Central,11,157,2358606.2,2010-09-01,6
waikato district,Ngaruwahia,4,50,438939.07,2010-09-01,6
waikato district,Huntly,4,59,588997.78,2010-09-01,6
waikato district,Raglan/ Taupiri/ Whatawhata,4,54,342137.1,2010-09-01,6
waikato district,Maramarua/ Rangiriri/ Te Kauwhata,3,30,191674.4,2010-09-01,6
waimakariri district,Kaiapoi,5,69,672895.07,2010-09-01,6
waimakariri district,Oxford/ Woodend,3,39,236127.88,2010-09-01,6
waimakariri district,Rangiora,6,89,850982.41,2010-09-01,6
waimate district,Waimate,4,30,211026.81,2010-09-01,6
waipa district,Kihikihi/ Pirongia/ Te Awamutu,7,103,1176839.98,2010-09-01,6
waipa district,Cambridge,6,95,960496.32,2010-09-01,6
wairoa district,Mahia Beach/ Wairoa,4,58,551023.18,2010-09-01,6
waitakere city,New Lynn,8,99,1624893.52,2010-09-01,6
waitakere city,Henderson,10,162,3310682.02,2010-09-01,6
waitakere city,Glen Eden,5,56,1077297.6,2010-09-01,6
waitakere city,Kelston/ Titirangi,3,46,750801.39,2010-09-01,6
waitakere city,Te Atatu,3,35,464999.29,2010-09-01,6
waitaki district,Oamaru,6,83,725125.45,2010-09-01,6
waitaki district,Kurow/ Omarama/ Otematata,5,26,87182.6,2010-09-01,6
waitomo district,Awakino/ Piopio/ Te Kuiti,6,78,639889.38,2010-09-01,6
whanganui district,Castlecliff/ Gonville/ Wanganui,19,265,2823017.22,2010-09-01,6
wellington city,Lambton/ Seatoun/ Thorndon,3,25,271128.21,2010-09-01,6
wellington city,Kilbirnie,4,57,905973.98,2010-09-01,6
wellington city,Wellington Central,18,296,4120522.75,2010-09-01,6
wellington city,Newtown,3,54,838024.65,2010-09-01,6
wellington city,Brooklyn/ Karori,3,53,597262.77,2010-09-01,6
wellington city,Strathmore/ Te Aro,3,45,511399.17,2010-09-01,6
wellington city,Island Bay,3,25,271214.01,2010-09-01,6
wellington city,Crofton Downs/ Hataitai/ Miramar/ Newlands,4,61,864791.11,2010-09-01,6
western bay of plenty district,Katikati,4,52,382153.87,2010-09-01,6
western bay of plenty district,Te Puke,6,78,819173.11,2010-09-01,6
western bay of plenty district,Omokoroa/ Pukehina/ Te Puna/ Waihi Beach,5,65,336734.95,2010-09-01,6
westland district,Fox Glacier/ Franz Josef/ Hokitika,7,65,469002.79,2010-09-01,6
whakatane district,Whakatane Central,7,95,1669064.68,2010-09-01,6
whakatane district,Edgecumbe/ Matata/ Te Teko,3,40,364812.31,2010-09-01,6
whakatane district,Murupara/ Ohope/ Poroporo,4,47,280373.46,2010-09-01,6
whangarei district,Marsden Point/ Ruakaka/ Waipu,3,43,248947.29,2010-09-01,6
whangarei district,Hikurangi/ Kamo/ Parua Bay/ Tikipunga,5,58,672277.92,2010-09-01,6
whangarei district,Whangarei Central,16,224,2805893.1,2010-09-01,6
auckland,Epsom/ Mt Eden/ Parnell,3,34,897925.69,2012-09-01,6
auckland,Blockhouse Bay/ Lynfield/ Owairaka/ Mount Albert,5,46,1005372.34,2012-09-01,6
auckland,Ellerslie/ Greenlane,3,42,575868.84,2012-09-01,6
auckland,Glendowie/ Orakei,4,28,196892.28000000003,2012-09-01,6
auckland,Eden Terrace/ Grafton/ Penrose,3,54,1012683.99,2012-09-01,6
auckland,Mt Roskill/ Sandringham/ Three Kings,5,38,601103.0700000001,2012-09-01,6
auckland,Point Chevalier,5,76,944989.6399999999,2012-09-01,6
auckland,Balmoral/ Glen Innes/ Kingsland,5,79,1676101.11,2012-09-01,6
auckland,Panmure,7,104,1457690.65,2012-09-01,6
auckland,Ostend/ Surfdale (Waiheke),3,27,209677.01,2012-09-01,6
auckland,Avondale/ Grey Lynn/ Herne Bay,7,82,1044622.71,2012-09-01,6
central hawke's bay district,Ongaonga/ Otane/ Waipawa/Waipukurau,6,67,522342.3499999999,2012-09-01,6
far north district,Kaeo/ Kerikeri,3,50,527775.33,2012-09-01,6
