TA,AREA_CLUSTER_OF_AREAS,TOTAL_NUMBER_OF_VENUES,TOTAL_NUMBER_OF_EGMS,TOTAL_GMP_NZD,DATE,INDEX
ruapehu district,Ohakune/ Raetihi/ Waioru,3,42,236520.99,2012-09-01,7
selwyn district,Leeston/ Lincoln/ Southbridge/ Springston,3,23,190616.8,2012-09-01,7
south waikato district,Tokoroa,8,133,1374056.64,2012-09-01,7
south waikato district,Putaruru/ Tirau,5,56,385555.67,2012-09-01,7
south wairarapa district,Featherston/ Martinborough,4,46,221492.11,2012-09-01,7
south wairarapa district,Greytown,3,31,173887.85,2012-09-01,7
southland district,Riverton,3,17,124165.61,2012-09-01,7
southland district,Winton,3,28,192826.14,2012-09-01,7
southland district,Edendale/ Tokanui/ Waituna/ Woodlands/ Wyndham,6,21,116103.36000000002,2012-09-01,7
southland district,Lumsden/ Manapouri/ Riversdale/ Tutapere,5,21,73501.66,2012-09-01,7
