SOCIETY_NAME,VENUE_NAME,VENUE_PHYSICAL_ADDRESS,TERRITORIAL_AUTHORITY,COUNT_OF_EGM
THE ORAKEI RETURNED SERVICES ASSOCIATION INCORPORATED,THE ORAKEI RETURNED SERVICES ASSOCIATION INCORPORATED,"178 KEPA ROAD
ORAKEI
AUCKLAND 1071
NEW ZEALAND",Auckland Council - Orakei,10
TITIRANGI RETURNED SERVICES ASSOCIATION INCORPORATED,TITIRANGI RSA,"502 SOUTH TITIRANGI ROAD
TITIRANGI
WAITAKERE CITY 1007",Auckland Council - Waitakere Ranges,10
Club Buller,CLUB BULLER,"44-46 QUEEN STREET
WESTPORT RURAL
BULLER 7825
NEW ZEALAND",BULLER DISTRICT,10
New Zealand Community Trust,THE GATE,"BARRYS AVENUE
CROMWELL
OTAGO 9384",CENTRAL OTAGO DISTRICT,10
THE SOUTHERN TRUST,MADEIRA HOTEL,"48 RUE LAVAUD
AKAROA
CANTERBURY 7520",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,10
THE SOUTHERN TRUST,BAILIES BAR & RESTAURANT,"1066 COLOMBO STREET
CHRISTCHURCH CENTRAL
CHRISTCHURCH 8001",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,10
THE LION FOUNDATION (2008),OCEAN BEACH HOTEL,"134 PRINCE ALBERT ROAD
ST KILDA
DUNEDIN 9012",DUNEDIN CITY,10
THE LION FOUNDATION (2008),MACKIES HOTEL,"14 GEORGE STREET
PORT CHALMERS
DUNEDIN 9023",DUNEDIN CITY,10
THE TRUSTS COMMUNITY FOUNDATION LIMITED,WHARF HOTEL,"25 FRYATT STREET
DUNEDIN CENTRAL
DUNEDIN 9054",DUNEDIN CITY,10
HAVELOCK NORTH CLUB INC,HAVELOCK NORTH CLUB,"4 CAMPBELL STREET
HAVELOCK NORTH
HAWKES BAY 4201",HASTINGS DISTRICT,10
AIR RESCUE SERVICES LIMITED,THE OLD LEITHFIELD HOTEL,"11 OLD MAIN NORTH ROAD
LEITHFIELD BEACH
CANTERBURY 8251",HURUNUI DISTRICT,10
MAINLAND FOUNDATION LIMITED,ALPINE VILLAGE INN,"10 JACKS PASS ROAD
HANMER SPRINGS
CANTERBURY 8273",HURUNUI DISTRICT,10
ILT FOUNDATION,CLIFTON CLUB INN,"CORNER ARMAGH AND WICKLOW STREETS
CLIFTON
INVERCARGILL 9501",INVERCARGILL CITY,10
TE AROHA HUTT VALLEY ASSOCIATION INC,TE AROHA HUTT VALLEY ASSOCIATION PAVILION,"TE WHITI PARK CORNER RIVERSIDE DRIVE AND WHITES LINE EAST
HUTT CENTRAL
LOWER HUTT 6009",LOWER HUTT CITY,10
WAIRARAPA SERVICES & CITIZENS CLUB INC.,WAIRARAPA SERVICES & CITIZENS CLUB,"20 ESSEX STREET
MASTERTON
MASTERTON DISTRICT 5840",MASTERTON DISTRICT,10
PUB CHARITY LIMITED,GRETNA HOTEL,"HAUTAPU STREET
TAIHAPE
MANAWATU 5457",RANGITIKEI DISTRICT,10
THE LION FOUNDATION (2008),Copthorne Hotel Rotorua,"CORNER FENTON STREET AND WARD AVENUE
FENTON PARK
ROTORUA 3010",ROTORUA DISTRICT,10
TE ANAU CLUB INC,TE ANAU CLUB,"7 JACKSON STREET
TE ANAU
SOUTHLAND 9681",SOUTHLAND DISTRICT,10
PUB CHARITY LIMITED,NEW CENTRAL MOTOR INN & HOTEL,"63-65 VOGEL STREET
WOODVILLE
MANAWATU 5473",TARARUA DISTRICT,10
THE LION FOUNDATION (2008),TELEGRAPH HOTEL,"2 MOTUPIPI STREET
TAKAKA
TASMAN DISTRICT 7172",TASMAN DISTRICT,10
PAUANUI SPORTS & RECREATION CLUB INCORPORATED,PAUANUI SPORTS & RECREATION CLUB INCORPORATED,"SHEPPARD AVENUE
PAUANUI BEACH
WAIKATO 2821",THAMES-COROMANDEL DISTRICT,10
CERT Your Local Gaming Trust Limited,Woodend Tavern,"51 MAIN NORTH ROAD
WOODEND
CANTERBURY 7610",WAIMAKARIRI DISTRICT,10
NGUNGURU SPORTS & RECREATION SOCIETY INCORPORATED,NGUNGURU SPORTS COMPLEX,"Kopipi Crescent
WHANGAREI CENTRAL
NORTHLAND 0110
NEW ZEALAND",WHANGAREI DISTRICT,10
New Zealand Community Trust,THE BROWN PUB,"FOREST DRIVE
METHVEN
CANTERBURY 8353",ASHBURTON DISTRICT,9
FOUR WINDS FOUNDATION LIMITED,OUTSIDE OBIE,"292-296 DOMINION ROAD
MOUNT EDEN
AUCKLAND 1024",AUCKLAND COUNCIL - ALBERT - EDEN,9
Milestone Foundation Limited,Mr Wang's Bar,"244-256 DOMINION ROAD
MOUNT EDEN
AUCKLAND 1024",AUCKLAND COUNCIL - ALBERT - EDEN,9
THE LION FOUNDATION (2008),HOPS N HOOVES,"SHOPS 9 AND 10 945A NEW NORTH ROAD
MT ALBERT
AUCKLAND 1003",AUCKLAND COUNCIL - ALBERT - EDEN,9
THE LION FOUNDATION (2008),Takapuna Bar,"2/6 ANZAC STREET
TAKAPUNA CENTRAL
NORTH SHORE CITY 1309",AUCKLAND COUNCIL - DEVONPORT - TAKAPUNA,9
BEACHLANDS CHARTERED CLUB INCORPORATED,BEACHLANDS CHARTERED CLUB,"CORNER WAKELIN ROAD AND THIRD VIEW AVENUE
BEACHLANDS-MARAETAI
MANUKAU 2571",Auckland Council - Franklin,9
GRASSROOTS TRUST LIMITED,Malt N Steel,"72 QUEEN STREET
WAIUKU
FRANKLIN 2123",AUCKLAND COUNCIL - FRANKLIN,9
Milestone Foundation Limited,The Longkeeper,"245 KING STREET
PUKEKOHE
FRANKLIN 1800",AUCKLAND COUNCIL - FRANKLIN,9
PUKEKOHE COSMOPOLITAN CLUB INC,BOWLS PUKEKOHE COSMOPOLITAN INCORPORATED,"78 NELSON STREET
PUKEKOHE
FRANKLIN 1800",Auckland Council - Franklin,9
Racing Industry Transition Agency ,TAB Pukekohe,"Retail 2
65-71 Edinburgh Street
PUKEKOHE
FRANKLIN 2120
NEW ZEALAND",Auckland Council - Franklin,9
Racing Industry Transition Agency ,TAB HENDERSON,"344 GREAT NORTH ROAD
HENDERSON
AUCKLAND 0612",Auckland Council - Henderson - Massey,9
Racing Industry Transition Agency ,TAB LINCOLN ROAD,"226-250 LINCOLN ROAD
HENDERSON
AUCKLAND 0612",Auckland Council - Henderson - Massey,9
New Zealand Community Trust,COUTTA'S,"SHOP 15 CORNER RED BEACH ROAD AND BAY STREET
RED BEACH
RODNEY DISTRICT 0932",AUCKLAND COUNCIL - HIBISCUS AND BAYS,9
New Zealand Community Trust,SUWAN THAI RESTAURANT AND TAVERN,"UNITS G & H 70A GRAND DRIVE
OREWA
RODNEY DISTRICT 0946",AUCKLAND COUNCIL - HIBISCUS AND BAYS,9
PELORUS TRUST,The Horse & Harp ,"SHOP 1 300-304 HIBISCUS COAST HIGHWAY
OREWA
RODNEY DISTRICT 0946",AUCKLAND COUNCIL - HIBISCUS AND BAYS,9
GRASSROOTS TRUST LIMITED,THE WAYPOINT,"UNIT B 89 SPRINGS ROAD
EAST TAMAKI
MANUKAU 1701",AUCKLAND COUNCIL - HOWICK,9
New Zealand Community Trust,XTREME BOTANY,"UNIT B1 500 TI RAKAU DRIVE
BOTANY DOWNS
MANUKAU 1704",Auckland Council - Howick,9
New Zealand Community Trust,BARREL INN,"UNIT 1 15 COOK STREET
HOWICK
MANUKAU 1704",Auckland Council - Howick,9
New Zealand Community Trust,CELSIUS,"UNIT 21
123 ORMISTON ROAD
FLAT BUSH
AUCKLAND 2016
NEW ZEALAND",AUCKLAND COUNCIL - HOWICK,9
THE LION FOUNDATION (2008),Ha'apai Veu Bar,"Unit H 
24 Dunrobin Place
Pakuranga
HALF MOON BAY
AUCKLAND 2010
NEW ZEALAND",AUCKLAND COUNCIL - HOWICK,9
CONSTELLATION COMMUNITIES TRUST LIMITED,COOL BAR,"1/43-47 PEARN PLACE
NORTHCOTE
AUCKLAND 0627",AUCKLAND COUNCIL - KAIPATIKI,9
Racing Industry Transition Agency ,TAB BIRKENHEAD,"SHOP 3 74 MOKOIA ROAD
BIRKENHEAD
NORTH SHORE CITY 1310",Auckland Council - Kaipatiki,9
THE LION FOUNDATION (2008),Sapphire Lounge,"2/405 GLENFIELD ROAD
GLENFIELD
NORTH SHORE CITY 1310",AUCKLAND COUNCIL - KAIPATIKI,9
THE LION FOUNDATION (2008),"The Good Home, Birkenhead","83 BIRKENHEAD AVENUE
BIRKENHEAD
NORTH SHORE CITY 1310",AUCKLAND COUNCIL - KAIPATIKI,9
GRASSROOTS TRUST LIMITED,REWA BAR,"202 GREAT SOUTH ROAD
MANUREWA
MANUKAU 1702",AUCKLAND COUNCIL - MANUREWA,9
GRASSROOTS TRUST LIMITED,Love Punjab Restaurant and Bar,"220 GREAT SOUTH ROAD
MANUREWA
MANUKAU 1702",AUCKLAND COUNCIL - MANUREWA,9
Rano Community Trust Limited,SPORTS BAR 185,"UNIT 9
185 GREAT SOUTH ROAD
MANUREWA
MANUKAU 1702
NEW ZEALAND",AUCKLAND COUNCIL - MANUREWA,9
THE LION FOUNDATION (2008),Backyard Bar,"SHOP 3 149 GREAT SOUTH ROAD
MANUREWA
MANUKAU 1702",AUCKLAND COUNCIL - MANUREWA,9
THE TRUSTS COMMUNITY FOUNDATION LIMITED,O'RYANS IRISH BAR,"UNIT T11 SHOPPING CENTRE 792 GREAT SOUTH ROAD
MANUKAU
AUCKLAND 2025",Auckland Council - Manurewa,9
BLUESKY COMMUNITY TRUST LIMITED,STRIKE! MANUKAU,"573 GREAT SOUTH ROAD
MANUKAU CITY
MANUKAU 1701",AUCKLAND COUNCIL - OTARA - PAPATOETOE,9
GRASSROOTS TRUST LIMITED,The WeighBridge,"132 GREAT SOUTH ROAD
PAPATOETOE
AUCKLAND 2025",AUCKLAND COUNCIL - OTARA - PAPATOETOE,9
Racing Industry Transition Agency ,TAB HUNTERS CORNER,"274 GREAT SOUTH ROAD
PAPATOETOE
AUCKLAND 2025",Auckland Council - Otara - Papatoetoe,9
Racing Industry Transition Agency ,TAB FLAT BUSH,"UNIT 18 302 TE IRIRANGI DRIVE
FLAT BUSH
AUCKLAND 2016",Auckland Council - Otara - Papatoetoe,9
YOUTHTOWN INCORPORATED,CLUB ROYALZ,"57H CAVENDISH DRIVE
MANUKAU CITY
MANUKAU 1701
NEW ZEALAND",AUCKLAND COUNCIL - OTARA - PAPATOETOE,9
GRASSROOTS TRUST LIMITED,The Blacksmith,"Unit 1 
30 Walters Road
TAKANINI
PAPAKURA 2112
NEW ZEALAND",AUCKLAND COUNCIL - PAPAKURA,9
Racing Industry Transition Agency ,TAB PAPAKURA,"2A/6 AVERILL STREET
PAPAKURA
SOUTH AUCKLAND 1703",Auckland Council - Papakura,9
BLUESKY COMMUNITY TRUST LIMITED,Chilli Bar & Cafe,"UNIT 8A 1-15 THE AVENUE
LYNFIELD
AUCKLAND 1004",AUCKLAND COUNCIL - PUKETAPAPA,9
PUB CHARITY LIMITED,JT'S BAR & GRILL,"168 RODNEY STREET
WELLSFORD
RODNEY DISTRICT 1242",Auckland Council - Rodney,9
PUB CHARITY LIMITED,BRIDGEHOUSE LODGE,"16 ELIZABETH STREET
WARKWORTH
RODNEY DISTRICT 1241",Auckland Council - Rodney,9
CONSTELLATION COMMUNITIES TRUST LIMITED,Vinos,"3/49 WILLIAM PICKERING DRIVE
ALBANY
NORTH SHORE CITY 0632",AUCKLAND COUNCIL - UPPER HARBOUR,9
FOUR WINDS FOUNDATION LIMITED,THE DARK HORSE,"70 PARKWAY DRIVE
MAIRANGI BAY
NORTH SHORE CITY 1311",AUCKLAND COUNCIL - UPPER HARBOUR,9
Racing Industry Transition Agency ,TAB ALBANY,"1/15 MERCARI WAY
ALBANY
NORTH SHORE CITY 0632",Auckland Council - Upper Harbour,9
THE LION FOUNDATION (2008),The Malt,"10 GREENHITHE ROAD
GREENHITHE
NORTH SHORE CITY 1311",AUCKLAND COUNCIL - UPPER HARBOUR,9
THE LION FOUNDATION (2008),FAT BOYS TAVERN,"2/215 ROSEDALE ROAD
ALBANY
NORTH SHORE CITY 0632",AUCKLAND COUNCIL - UPPER HARBOUR,9
THE TRUSTS COMMUNITY FOUNDATION LIMITED,The Flagship,"15 CLEARWATER COVE
WEST HARBOUR
AUCKLAND 0618",AUCKLAND COUNCIL - UPPER HARBOUR,9
Waiheke Bowling Club Incorporated,WAIHEKE BOWLING CLUB ,"2 MARAMA AVENUE
SURFDALE
AUCKLAND 1081
NEW ZEALAND",AUCKLAND COUNCIL - WAIHEKE,9
WAIHEKE RETURNED SERVICES ASSOCIATION INCORPORATED,WAIHEKE RSA CLUB,"29 BELGIUM STREET
OSTEND
AUCKLAND 1081
NEW ZEALAND",Auckland Council - Waiheke,9
GLEN EDEN BOWLING CLUB INCORPORATED,GLEN EDEN BOWLING CLUB,"25A GLENDALE ROAD
GLEN EDEN
AUCKLAND 0602
NEW ZEALAND",Auckland Council - Waitakere Ranges,9
Masse Incorporated,Masse Glen Eden,"200 WEST COAST ROAD
GLEN EDEN
AUCKLAND 1004",Auckland Council - Waitakere Ranges,9
DRAGON COMMUNITY TRUST LIMITED,Muddy Farmer,"13 WYNDHAM STREET
AUCKLAND CENTRAL
AUCKLAND 1010",Auckland Council - Waitemata,9
DRAGON COMMUNITY TRUST LIMITED,Bar Kiwi,"2 York Street
Level 6
NEWMARKET
AUCKLAND 1023
NEW ZEALAND",AUCKLAND COUNCIL - WAITEMATA,9
GRASSROOTS TRUST LIMITED,FAMILY,"270 KARANGAHAPE ROAD
NEWTON
AUCKLAND 1001",AUCKLAND COUNCIL - WAITEMATA,9
GREY LYNN RETURNED SERVICES SOCIAL CLUB INCORPORATED,GREY LYNN RETURNED SERVICES SOCIAL CLUB INCORPORATED,"1 FRANCIS STREET
GREY LYNN
AUCKLAND 1021
NEW ZEALAND",AUCKLAND COUNCIL - WAITEMATA,9
THE NORTH AND SOUTH TRUST LIMITED,GREY LYNN TAVERN,"521-523 GREAT NORTH ROAD
GREY LYNN
AUCKLAND 1245",AUCKLAND COUNCIL - WAITEMATA,9
Racing Industry Transition Agency ,TAB NEW LYNN,"2/3041 GREAT NORTH ROAD
NEW LYNN
WAITAKERE CITY 1007",Auckland Council - Whau,9
THE TRUSTS COMMUNITY FOUNDATION LIMITED,BRICKLANE RESTAURANT & BAR,"5 CLARK STREET
NEW LYNN
WAITAKERE CITY 1007",Auckland Council - Whau,9
New Zealand Community Trust,REEFTON AUTOLODGE,"72-78 BROADWAY
REEFTON
BULLER 8290",BULLER DISTRICT,9
PUB CHARITY LIMITED,CRITERION HOTEL (WESTPORT),"218 PALMERSTON STREET
WESTPORT
BULLER 7601",BULLER DISTRICT,9
THE LION FOUNDATION (2008),Ev's Bar,"3 BELVEDERE ROAD
CARTERTON
CARTERTON DISTRICT 5951",CARTERTON DISTRICT,9
AIR RESCUE SERVICES LIMITED,PAPANUI RETURNED SERVICES ASSOCIATION,"55 BELLVUE AVENUE
PAPANUI
CHRISTCHURCH 8053",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,9
AIR RESCUE SERVICES LIMITED,Papanui Flame,"15 MAIN NORTH ROAD
PAPANUI
CHRISTCHURCH 8053",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,9
New Zealand Community Trust,BILL'S BAR & BISTRO,"1 HALSWELL ROAD
HALSWELL
CHRISTCHURCH 7674",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,9
PUB CHARITY LIMITED,Erawan Thai,"CORNER HILLS AND SHIRLEY ROADS
SHIRLEY
CHRISTCHURCH 8001",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,9
THE LION FOUNDATION (2008),ENDEAVOUR TAVERN,"87 EFFINGHAM STREET
WAIMARI BEACH
CHRISTCHURCH 8009",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,9
YOUTHTOWN INCORPORATED,WAIMAKARIRI RESTAURANT TAVERN,"1276 MAIN NORTH ROAD
KAINGA
CHRISTCHURCH 8009",CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,9
THE TRUSTS COMMUNITY FOUNDATION LIMITED,ROSEBANK LODGE,"265 CLYDE STREET
BALCLUTHA
OTAGO 9230",CLUTHA DISTRICT,9
Racing Industry Transition Agency ,TAB SOUTH DUNEDIN,"123 HILLSIDE ROAD
SOUTH DUNEDIN
DUNEDIN 9001",DUNEDIN CITY,9
Racing Industry Transition Agency ,TAB DUNEDIN CENTRAL,"320 MORAY PLACE
DUNEDIN CENTRAL
DUNEDIN 9054",DUNEDIN CITY,9
THE BENDIGO VALLEY SPORTS AND CHARITY FOUNDATION,GOLDEN FLEECE HOTEL/MOTEL,"198 MAIN ROAD STATE HIGHWAY 1
WAIKOUAITI
DUNEDIN 9063",DUNEDIN CITY,9
THE BENDIGO VALLEY SPORTS AND CHARITY FOUNDATION,CONCORD INN,"12 MAIN SOUTH ROAD
CONCORD
DUNEDIN 9006",DUNEDIN CITY,9
THE SOUTHERN TRUST,CARISBROOK HOTEL,"149 SOUTH ROAD
CAVERSHAM
DUNEDIN 9001",DUNEDIN CITY,9
THE SOUTHERN TRUST,KENSINGTON TUI CLUBROOMS,"4 KING EDWARD STREET
KENSINGTON
DUNEDIN 9011",DUNEDIN CITY,9
FAR NORTH (KAITAIA) RETURNED SERVICES ASSOCIATION INCORPORATED,FAR NORTH (KAITAIA) RSA,"12-18 Matthews Avenue
KAITAIA
NORTHLAND 0410
NEW ZEALAND",FAR NORTH DISTRICT,9
PAIHIA EX-SERVICEMENS ASSOCIATION INC,PAIHIA EX-SERVICEMEN'S ASSOCIATION,"Cnr School & Joyces Roads
PAIHIA
NORTHLAND 0200
NEW ZEALAND",FAR NORTH DISTRICT,9
INFINITY FOUNDATION LIMITED,THE RIVERS,"1 GLADSTONE ROAD
GISBORNE CENTRAL
GISBORNE 4010",GISBORNE DISTRICT,9
New Zealand Community Trust,BOLLYWOOD STAR,"355 GLADSTONE ROAD
GISBORNE CENTRAL
GISBORNE 4010",GISBORNE DISTRICT,9
THE LION FOUNDATION (2008),RUATORIA HOTEL,"145 MAIN STREET
RUATORIA
GISBORNE 3851",GISBORNE DISTRICT,9
New Zealand Community Trust,RECREATION HOTEL (GREYMOUTH),"68 HIGH STREET
GREYMOUTH
GREY DISTRICT 7805",GREY DISTRICT,9
RUNANGA WORKINGMENS CLUB & MUTUAL SCHOOL OF ARTS,RUNANGA WMC & MUTUAL SCHOOL OF ARTS,"Cnr Pitt & McGowan Streets
RUNANGA-RAPAHOE
GREY DISTRICT 7803
NEW ZEALAND",GREY DISTRICT,9
YOUTHTOWN INCORPORATED,DUNOLLIE HOTEL,"37 MCDOUGAL AVENUE
DUNOLLIE
GREYMOUTH 7854",GREY DISTRICT,9
GRASSROOTS TRUST LIMITED,Cook Street Social,"7 COOK STREET
HAMILTON CENTRAL
HAMILTON 3204",HAMILTON CITY,9
GRASSROOTS TRUST LIMITED,5 CROSSROADS SPORTS BAR AND CAFE,"5 CROSS ROADS SHOPPING CENTRE 236 PEACHGROVE ROAD
CLAUDELANDS
HAMILTON 3214",HAMILTON CITY,9
New Zealand Community Trust,STILL WORKING,"UNIT 12 13 LYNDEN COURT
CHARTWELL
HAMILTON 2001",HAMILTON CITY,9
Racing Industry Transition Agency ,TAB TE RAPA,"618 TE RAPA ROAD
HAMILTON CENTRAL
HAMILTON 3204",HAMILTON CITY,9
TRILLIAN TRUST,THE COCK AND BULL (HAMILTON),"4 MAUI STREET
PUKETE
HAMILTON 2001",HAMILTON CITY,9
INFINITY FOUNDATION LIMITED,Bollywood Star Restaurant,"102-106 HERETAUNGA STREET
HASTINGS CENTRAL
HAWKES BAY 4201",HASTINGS DISTRICT,9
New Zealand Community Trust,Currizza's Tavern,"342 West Heretaunga Street West
HASTINGS CENTRAL
HAWKES BAY 4201
NEW ZEALAND",HASTINGS DISTRICT,9
WAIHI MEMORIAL R.S.A. (INCORPORATED),WAIHI MEMORIAL R.S.A. (INCORPORATED),"71 SEDDON STREET
WAIHI
WAIKATO 3610
NEW ZEALAND",HAURAKI DISTRICT,9
PELORUS TRUST,POST OFFICE HOTEL,"57 MAIN STREET
FOXTON
MANAWATU 5551",HOROWHENUA DISTRICT,9
MAINLAND FOUNDATION LIMITED,MONTEITHS BREWERY BAR,"47 AMURI AVENUE
HANMER SPRINGS
CANTERBURY 8273",HURUNUI DISTRICT,9
ILT FOUNDATION,WAXY O'SHEA'S,"90 DEE STREET
INVERCARGILL CENTRAL
INVERCARGILL 9501",INVERCARGILL CITY,9
Racing Industry Transition Agency ,TAB SOUTH INVERCARGILL,"261 ELLES ROAD
INVERCARGILL
SOUTHLAND 9812",INVERCARGILL CITY,9
THE TRUSTS COMMUNITY FOUNDATION LIMITED,WHITEHOUSE HOTEL,"31-39 RIVERTON LORNVILLE HIGHWAY
INVERCARGILL
SOUTHLAND 9812",INVERCARGILL CITY,9
Mangawhai Club Inc,MANGAWHAI CLUB,"Molesworth Drive
MANGAWHAI
NORTHLAND 0505
NEW ZEALAND",KAIPARA DISTRICT,9
THE LION FOUNDATION (2008),Dargaville Central Hotel,"18-22 VICTORIA STREET
DARGAVILLE
NORTHLAND 0310",KAIPARA DISTRICT,9
PELORUS TRUST,FINNS PAEKAKARIKI,"2 BEACH ROAD
PAEKAKARIKI
KAPITI COAST 6010",KAPITI COAST DISTRICT,9
PUB CHARITY LIMITED,STRIKE LOWER HUTT,"395-397 HUTT ROAD
LOWER HUTT
LOWER HUTT 5040",LOWER HUTT CITY,9
Racing Industry Transition Agency ,TAB WAINUIOMATA,"10A THE STRAND
WAINUIOMATA
LOWER HUTT 5014",LOWER HUTT CITY,9
Racing Industry Transition Agency ,TAB PETONE,"204 JACKSON STREET
PETONE
LOWER HUTT 5012",LOWER HUTT CITY,9
Racing Industry Transition Agency ,TAB NAENAE,"33 HILLARY COURT
NAENAE
LOWER HUTT 6009",LOWER HUTT CITY,9
Racing Industry Transition Agency ,TAB Lower Hutt,"204 High Street
Hutt Central
LOWER HUTT
LOWER HUTT 5010
NEW ZEALAND",LOWER HUTT CITY,9
PUB CHARITY LIMITED,HAVELOCK HOTEL,"54 MAIN ROAD
HAVELOCK
MARLBOROUGH 7154",MARLBOROUGH DISTRICT,9
PUB CHARITY LIMITED,DA'S BARN RESTAURANT & BAR,"48 HIGH STREET
PICTON
MARLBOROUGH 7372",MARLBOROUGH DISTRICT,9
THE LION FOUNDATION (2008),THE CROW TAVERN,"15/17 NELSON SQUARE
PICTON
MARLBOROUGH 7372",MARLBOROUGH DISTRICT,9
THE LION FOUNDATION (2008),The Good Home Blenheim,"CORNER GEORGE AND QUEEN STREETS
BLENHEIM
MARLBOROUGH 7273",MARLBOROUGH DISTRICT,9
THE LION FOUNDATION (2008),FAIRWEATHER ON SCOTT,"36 SCOTT STREET
BLENHEIM
MARLBOROUGH 7273",MARLBOROUGH DISTRICT,9
THE LION FOUNDATION (2008),WAIHOU TAVERN,"STATE HIGHWAY 26
WAIHOU-WALTON
WAIKATO 2972",MATAMATA-PIAKO DISTRICT,9
INFINITY FOUNDATION LIMITED,Westshore Beach Inn,"85 MEEANEE QUAY
WESTSHORE
NAPIER 4001",NAPIER CITY,9
INFINITY FOUNDATION LIMITED,Union Hotel,"3 WAGHORNE STREET
AHURIRI
NAPIER 4110",NAPIER CITY,9
PUB CHARITY LIMITED,RATTLE & HUM,"141 BRIDGE STREET
NELSON CENTRAL
NELSON 7001",NELSON CITY,9
THE LION FOUNDATION (2008),The New Street Steakhouse,"58 COLLINGWOOD STREET
NELSON CENTRAL
NELSON 7001",NELSON CITY,9
New Zealand Community Trust,THE FITZ,"601 DEVON STREET EAST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",NEW PLYMOUTH DISTRICT,9
New Zealand Community Trust,Westside Grille,"41 TUKAPA STREET
WESTOWN
NEW PLYMOUTH 4601",NEW PLYMOUTH DISTRICT,9
Racing Industry Transition Agency ,TAB FITZROY,"545 DEVON STREET EAST
FITZROY
NEW PLYMOUTH 4601",NEW PLYMOUTH DISTRICT,9
Racing Industry Transition Agency ,TAB New Plymouth,"10/4 Egmont Street
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310
NEW ZEALAND",NEW PLYMOUTH DISTRICT,9
Racing Industry Transition Agency ,TAB TERRACE END ,"328 BROADWAY AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,9
Racing Industry Transition Agency ,TAB Palmerston North,"28-32 Fitzherbert Avenue 
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4410
NEW ZEALAND",PALMERSTON NORTH CITY,9
THE LION FOUNDATION (2008),The Workshop,"171 FAIRS ROAD
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",PALMERSTON NORTH CITY,9
FOUR WINDS FOUNDATION LIMITED,The Co-Op Kitchen & Bar,"69A Discovery Drive
PORIRUA
WELLINGTON 5024
NEW ZEALAND",PORIRUA CITY,9
Racing Industry Transition Agency ,TAB PORIRUA,"2 SERLBY PLACE
PORIRUA
WELLINGTON 6006",PORIRUA CITY,9
New Zealand Community Trust,WATER BAR,"145 ARDMORE STREET
WANAKA
OTAGO 9305",QUEENSTOWN-LAKES DISTRICT,9
New Zealand Community Trust,NEW ORLEANS HOTEL,"27 BUCKINGHAM STREET
ARROWTOWN
OTAGO 9196",QUEENSTOWN-LAKES DISTRICT,9
New Zealand Community Trust,PUB ON WHARF,"STEAMER WHARF 88 BEACH STREET
QUEENSTOWN
OTAGO 9197",QUEENSTOWN-LAKES DISTRICT,9
PUB CHARITY LIMITED,CAPTAIN COOK'S BAR & CAFE,"301 BROADWAY
MARTON
MANAWATU 5460",RANGITIKEI DISTRICT,9
New Zealand Community Trust,WEST END TAVERN,"221-223 OLD TAUPO ROAD
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,9
New Zealand Community Trust,HENNESSY'S IRISH BAR,"1208-1210 TUTANEKAI STREET
ROTORUA CENTRAL
ROTORUA 3201",ROTORUA DISTRICT,9
New Zealand Community Trust,MINI INDIA RESTAURANT,"123 HAKIAHA STREET
TAUMARUNUI CENTRAL
TAUMARUNUI 2600",RUAPEHU DISTRICT,9
PUB CHARITY LIMITED,Ohakune Tavern,"66-72 CLYDE STREET
OHAKUNE
MANAWATU 4625
NEW ZEALAND",RUAPEHU DISTRICT,9
AIR RESCUE SERVICES LIMITED,THE ROCK,"82 ROLLESTON DRIVE
ROLLESTON
CANTERBURY 7614
NEW ZEALAND",SELWYN DISTRICT,9
AIR RESCUE SERVICES LIMITED,SOUTHBRIDGE HOTEL,"HIGH STREET
SOUTHBRIDGE
CANTERBURY 8150",SELWYN DISTRICT,9
PUB CHARITY LIMITED,Crate & Barrell,"3 Market Street
Leeston
SELWYN-RAKAIA
CANTERBURY 7632
NEW ZEALAND",SELWYN DISTRICT,9
THE LION FOUNDATION (2008),Two Fat Possums,"Unit A 
735 Weedons Ross Road
WEST MELTON
CHRISTCHURCH 7618
NEW ZEALAND",SELWYN DISTRICT,9
PUB CHARITY LIMITED,CLARENDON HOTEL,"83 WERAROA ROAD
WAVERLEY
WANGANUI 5182",SOUTH TARANAKI DISTRICT,9
One Foundation Limited,THE CROWN & ANCHOR,"4 PRINCESS STREET
PUTARURU
WAIKATO 2371",SOUTH WAIKATO DISTRICT,9
THE LION FOUNDATION (2008),HOG AND HOUNDS SPORTS BAR,"57-61 TIRAU STREET
PUTARURU
WAIKATO 2371",SOUTH WAIKATO DISTRICT,9
